City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Srednekolymsk,RU,2022-01-29 12:16:18,67.45,153.6833,-13.47,99,100,3.22
220,Menomonie,US,2022-01-29 12:16:19,44.8755,-91.9193,11.17,72,93,0.0
221,Yamada,JP,2022-01-29 12:16:19,39.4667,141.95,29.44,78,18,6.15
222,Lerwick,GB,2022-01-29 12:16:20,60.1545,-1.1494,42.8,78,88,48.54
223,Mehrabpur,PK,2022-01-29 12:16:20,28.1085,68.0254,75.25,18,1,3.38
224,Katsuura,JP,2022-01-29 12:16:21,35.1333,140.3,46.51,72,85,9.35
225,Fatezh,RU,2022-01-29 12:16:21,52.0891,35.8632,33.78,93,99,5.79
226,Santa Marta,CO,2022-01-29 12:16:21,11.2408,-74.199,73.35,80,97,8.97
227,Paragould,US,2022-01-29 12:16:22,36.0584,-90.4973,19.33,54,0,1.7
228,Peniche,PT,2022-01-29 12:16:22,39.3558,-9.3811,64.92,42,5,10.36
229,Estelle,US,2022-01-29 12:16:23,29.8458,-90.1067,39.2,51,0,10.36
230,Atambua,ID,2022-01-29 12:16:23,-9.1061,124.8925,74.82,90,98,5.3
231,Toppenish,US,2022-01-29 12:16:23,46.3774,-120.3087,32.0,82,48,0.76
232,Maragogi,BR,2022-01-29 12:16:24,-9.0122,-35.2225,82.8,69,100,10.83
233,Esperance,AU,2022-01-29 12:16:24,-33.8667,121.9,73.94,57,0,18.14
234,Shahr-E Babak,IR,2022-01-29 12:16:24,30.1165,55.1186,54.45,21,100,12.64
235,Waingapu,ID,2022-01-29 12:17:25,-9.6567,120.2641,79.63,82,99,9.01
236,Garissa,KE,2022-01-29 12:17:25,-0.4536,39.6401,95.54,30,97,10.8
237,Khagaria,IN,2022-01-29 12:17:26,25.5,86.4833,59.16,51,0,7.47
238,Sistranda,NO,2022-01-29 12:17:26,63.7256,8.834,37.36,96,100,14.05
239,Victoria,HK,2022-01-29 12:13:42,22.2855,114.1577,65.25,83,51,1.01
240,Baykit,RU,2022-01-29 12:17:27,61.67,96.37,0.3,100,99,1.16
241,Kindu,CD,2022-01-29 12:16:08,-2.95,25.95,90.59,42,57,4.03
242,Tessalit,ML,2022-01-29 12:17:27,20.1986,1.0114,80.31,7,50,14.61
243,Kruisfontein,ZA,2022-01-29 12:17:28,-34.0033,24.7314,78.89,45,11,15.46
244,Durban,ZA,2022-01-29 12:17:28,-29.8579,31.0292,76.93,84,27,5.99
245,Merauke,ID,2022-01-29 12:17:28,-8.4667,140.3333,82.2,79,100,11.1
246,Mehamn,NO,2022-01-29 12:17:29,71.0357,27.8492,24.89,67,86,9.35
247,Mantua,IT,2022-01-29 12:17:29,45.1667,10.7833,54.82,80,8,2.89
248,Posse,BR,2022-01-29 12:17:30,-14.0931,-46.3694,73.58,74,46,6.62
249,Tazovskiy,RU,2022-01-29 12:17:30,67.4667,78.7,-17.23,100,97,5.26
250,Cherskiy,RU,2022-01-29 12:17:31,68.75,161.3,-16.38,98,100,2.77
251,Manado,ID,2022-01-29 12:17:31,1.487,124.8455,79.57,94,40,1.14
252,Hami,CN,2022-01-29 12:17:31,42.8,93.45,26.42,43,0,2.01
253,Barra Patuca,HN,2022-01-29 12:17:32,15.8,-84.2833,75.61,75,27,10.09
254,Togur,RU,2022-01-29 12:17:32,58.3631,82.8265,-2.0,100,89,4.29
255,Birao,CF,2022-01-29 12:17:33,10.2849,22.7882,88.57,8,99,10.96
256,Dingle,PH,2022-01-29 12:17:33,10.9995,122.6711,77.81,85,47,2.19
257,Ambilobe,MG,2022-01-29 12:17:33,-13.2,49.05,83.55,70,68,7.4
