City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
545,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
547,Iralaya,HN,76.55,clear sky,15.0,-83.2333,Iglesia morava renovada
554,Borba,BR,74.17,light rain,-4.3878,-59.5939,Hotel da Amazônia
556,Beaufort,MY,84.36,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
558,Cairns,AU,91.35,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
560,Phan Thiet,VN,79.14,broken clouds,10.9333,108.1,Hotel Saigon-PT
563,Wad Rawah,SD,70.97,scattered clouds,15.1603,33.1397,ود الترابي
564,Daru,PG,84.58,overcast clouds,-9.0763,143.2092,Daru Lodge
576,Palmares Do Sul,BR,75.15,clear sky,-30.2578,-50.5097,Restaurante e Pensão Lopes
577,Alice Springs,AU,71.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
580,Mochudi,BW,75.79,clear sky,-24.4167,26.15,Motsile BigMots' Place
582,Saint-Joseph,RE,79.18,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
583,Wau,SS,75.25,overcast clouds,7.7029,27.9953,Universal Gab Hotel
584,Basco,PH,75.67,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
586,Emerald,AU,85.33,scattered clouds,-23.5333,148.1667,The Irish Village
587,Acarau,BR,78.98,overcast clouds,-2.8856,-40.12,castelo pizzaria
588,Trindade,BR,73.15,overcast clouds,-16.6494,-49.4889,Pousada Central
591,Marsh Harbour,BS,71.08,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
596,Tautira,PF,89.62,light rain,-17.7333,-149.15,Pension Oaoa
597,Melo,UY,74.66,clear sky,-32.3667,-54.1833,Hotel Juana
599,Sechura,PE,74.3,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
600,Nabire,ID,83.59,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
603,Bambanglipuro,ID,81.1,broken clouds,-7.95,110.2833,Puri Brata
607,Saquarema,BR,77.02,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
608,Hobyo,SO,77.99,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
610,Posse,BR,71.11,light rain,-14.0931,-46.3694,Pousada das Palmeiras
612,Pimentel,PE,70.88,broken clouds,-6.8367,-79.9342,Casona Del Muelle
613,Bourail,NC,87.04,clear sky,-21.5667,165.4833,Motel Allamanda
617,Santa Cruz,BO,78.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
618,Pauini,BR,71.24,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
621,Bako,ET,72.72,overcast clouds,5.7833,36.5667,Goh Hotel
623,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
624,Ipixuna,BR,78.75,broken clouds,-1.7625,-48.8043,Casa da Oscarina
627,Rock Sound,BS,72.59,clear sky,24.9,-76.2,Pink Corral Bay Property
629,Saravena,CO,77.25,scattered clouds,6.9538,-71.8752,Hotel Diamante Saravena
630,Pimenteiras,BR,74.62,broken clouds,-6.2453,-41.4192,Hotel rotativo pimentas
633,Lufilufi,WS,82.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
634,Moree,AU,73.42,broken clouds,-29.4667,149.85,Molika Springs Motel
636,Mogadishu,SO,77.04,overcast clouds,2.0371,45.3438,Hotel Juba
637,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
640,Vao,NC,78.37,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
642,Pundaguitan,PH,78.94,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
644,Ahuimanu,US,80.78,broken clouds,21.4447,-157.8378,Paradise Bay Resort
646,Hualmay,PE,70.79,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
648,Madingou,CG,71.65,light rain,-4.1536,13.55,HOTEL KIM ELISA
649,Ulladulla,AU,70.88,scattered clouds,-35.35,150.4667,Sandpiper Motel
651,Moron,AR,82.98,light rain,-34.6534,-58.6198,Hotel Morón
655,Dubbo,AU,78.93,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
656,Itarema,BR,79.18,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
658,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
663,Alice Town,BS,73.26,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
664,Anori,BR,74.64,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
668,Barra Do Garcas,BR,73.53,overcast clouds,-15.89,-52.2567,Pousada Tropical
